Rank,Title,Artists,Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,# of Artist,Artist (Ind.),# of Nationality,Nationality,Continent,Points (Total),Points (Ind for each Artist/Nat),id,Song URL
29,Say Yes To Heaven,Lana Del Rey,29/05/2023,0.49,0.352,-11577.0,0.025,0.709,0.086,0.166,Artist 1,Lana Del Rey,Nationality 1,United States,Anglo-America,172,172.0,6GGtHZgBycCgGBUhZo81xe,https://open.spotify.com/track/6GGtHZgBycCgGBUhZo81xe
114,lovely (with Khalid),"Billie Eilish, Khalid",29/05/2023,0.351,0.296,-10109.0,0.033,0.934,0.0,0.12,Artist 1,Billie Eilish,Nationality 1,United States,Anglo-America,87,43.5,0u2P5u6lvoDfwTYjAADbn4,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
158,Glimpse of Us,Joji,29/05/2023,0.44,0.317,-9258.0,0.053,0.891,0.0,0.268,Artist 1,Joji,Nationality 1,Jamaica,Anglo-America,43,43.0,4ewazQLXFTDC8XvCbhvtXs,https://open.spotify.com/track/4ewazQLXFTDC8XvCbhvtXs
145,Boat,Ed Sheeran,05/05/2023,0.47,0.203,-8676.0,0.037,0.758,0.0,0.325,Artist 1,Ed Sheeran,Nationality 1,United Kingdom,Europe,56,56.0,6jemILri7l5LuPhKs2nuXr,https://open.spotify.com/track/6jemILri7l5LuPhKs2nuXr
154,Interlude : Dawn,Agust D,21/04/2023,0.188,0.309,-10564.0,0.029,0.898,0.771,0.068,Artist 1,Agust D,Nationality 1,South Korea,Asia,47,47.0,56tf3cHQkwmvoplotk5QXd,https://open.spotify.com/track/56tf3cHQkwmvoplotk5QXd
91,Candy Necklace (feat. Jon Batiste),"La Del Rey, Jon Batiste",24/03/2023,0.343,0.142,-16432.0,0.04,0.871,0.01,0.08,Artist 1,Lana Del Rey,Nationality 1,United States,Anglo-America,110,55.0,3MlEryrxCKZkcfX18ZLX96,https://open.spotify.com/track/3MlEryrxCKZkcfX18ZLX96
165,Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,24/03/2023,0.457,0.343,-9387.0,0.031,0.805,0.018,0.056,Artist 1,Lana Del Rey,Nationality 1,United States,Anglo-America,36,36.0,0HEzuLLojblUOaUSdmJ9gl,https://open.spotify.com/track/0HEzuLLojblUOaUSdmJ9gl
164,"Paris, Texas (feat. SYML)","La Del Rey, SYML",24/03/2023,0.315,0.102,-17621.0,0.034,0.985,0.051,0.185,Artist 1,Lana Del Rey,Nationality 1,United States,Anglo-America,37,18.0,0Oqxt6JixieLHbwMfnJGWO,https://open.spotify.com/track/0Oqxt6JixieLHbwMfnJGWO
135,Sweet,Lana Del Rey,24/03/2023,0.326,0.245,-12337.0,0.029,0.958,0.004,0.07,Artist 1,Lana Del Rey,Nationality 1,United States,Anglo-America,66,66.0,6x8g6DxglrzCSwKhv2Q1ee,https://open.spotify.com/track/6x8g6DxglrzCSwKhv2Q1ee
123,The Grants,Lana Del Rey,24/03/2023,0.364,0.167,-12168.0,0.036,0.867,0.001,0.143,Artist 1,Lana Del Rey,Nationality 1,United States,Anglo-America,78,78.0,3KbOflJ5JqHWtmco4PiO3h,https://open.spotify.com/track/3KbOflJ5JqHWtmco4PiO3h
