artist,song,text,polarity,mood
Bob Marley,Rainbow Country,"hey mr music , sure sound good to me . i ca n't refus it , wadda be gadda be . feel like dancin ' danc 'caus we are free . i got my own , in the promis land . but i feel at home , do you understand . na na na naa na though the road is rocki , it sure feel good to me . and if your lucki , togeth we 'll alway be . i 'll be ridin ' sun is a risin ' jah is a risin ' rainbow countri , rainbow countri .",0.5428571428571428,happy
Lou Reed,Real Good Time Together,"we 're gon na have a real good time togeth we 're gon na have a real good time togeth we 're gon na have a real good time togeth we 're gon na danc and bawl and shout togeth na-na-na-na-na , na-na-na-na-na , na-na na-na-na-na-na , na-na-na-na-na , na-na na-na-na-na-na , na-na-na-na-na , na-na na-na-na-na-na , na-na-na-na-na , na-na we 're gon na have a real good time togeth we 're gon na have a real good time togeth we 're gon na danc and bawl and shout togeth , oh babi , pleas we 're gon na have a real good time togeth na-na-na-na-na , na-na-na-na-na , na-na na-na-na-na-na , na-na-na-na-na , na-na na-na-na-na-na , na-na-na-na-na , na-na na-na-na-na-na , na-na-na-na-na , na-na na-na-na-na-na , na-na-na-na-na , na-na na-na-na-na-na , na-na-na-na-na , na-na na-na-na-na-na , na-na-na-na-na , na-na na-na-na-na-na , na-na-na-na-na , na-na",1.0,happy
Electric Light Orchestra,Mrs. Ward,"on friday afternoon at three o'clock a pass ladi look into a shop her eye lit up as thi the sign she read recruit offic , that is what it said exacitedli she step insid to see how her son would fair if they were militri the man in charg to her wa veri sweet and said , `` pleas sign here on thi littl sheet '' but when she got home her mind grew mani fear the messag from the soldier in the war rang in her ear do n't put your boy in the armi mrs. ward you know they 'll onli wast away , oh oh do n't put your boy in the armi mrs. ward you know they 'll onli wast away , oh oh at six o'clock the lad came home from work she told them what she 'd done , they went beserk we 'll have to go to war and fight and die and mrs. ward she wipe a tear from her eye do n't put your boy in the armi mrs. ward you know they 'll onli wast away , oh oh do n't put your boy in the armi mrs. ward you know they 'll onli wast away , oh oh do n't put your boy in the armi mrs. ward you know they 'll onli wast away , oh oh do n't put your boy in the armi mrs. ward you know they 'll onli wast away , oh oh do n't put your boy in the armi mrs. ward you know they 'll onli wast away , oh oh",0.5249999999999999,happy
Patsy Cline,Your Kinda Love,"you say you love me then you treat me like a stranger i do n't understand your kind of love you say you need me and that make it even stranger no , i do n't understand your kind of love if you ca n't be all mine then whi am i all your i wonder where a heart draw the line i tri not to see you but you 're a great arrang no , i do n't understand your kind of love ( repeat last vers ) no , i do n't understand your kind of love",0.5181818181818181,happy
Everlast,The Greatest,"do n't throw no rose on my grave , boo death 's not a soldier , it 's more like an angel you got no where to run , no one to pray to jesu and mose ai n't comin ' to save you ( the greatest , the the the greatest ) i float like a butterfli , i sting like a hornet they wo n't let me have it not even if no one els want it and if i tri to take it they want to break me down and strip me nake they write a brand new rule and break it they lie , they cheat , they steal , they fake it but i'mma make it , lord i can take it i 'm the ( the greatest man aliv ) cut the drama boy , save it for your mama i 'm the ( the greatest man aliv ) i ca n't sweat it , know i got to get it i 'm the ( the greatest man aliv ) without no doubt , my name will surviv ( the greatest the the greatest man aliv ) ( the greatest man ) ( the greatest , the the ) i'mma make it , lord i can take it i 'm the ( the greatest man aliv ) cut the drama boy , save it for your mama i 'm the ( the greatest man aliv ) i ca n't sweat it , i know i got to get it i 'm the ( the greatest man aliv ) without no doubt , my name will surviv ( the , the greatest man aliv ) ( the greatest , the the greatest man ) ( the the , the greatest man aliv ) ( the , the the greatest , the the the greatest man ) ( the greatest man aliv ) i'mma make it , i know that i can take it i 'm the ( the greatest man aliv ) cut the drama boy , save it for your mama i 'm the ( the greatest man aliv ) i ca n't sweat it , i know i got ta get it i 'm the ( the greatest man aliv ) without no doubt my name will surviv ( the greatest man , the greatest man aliv ) it onli get harder it alway seem so far away the sky 's get darker anoth storm is on the way ( the the greatest , the the the greatest ) anoth storm is on the way ( the the the the greatest , the the greatest ) ( the greatest man aliv )",0.7966891133557801,happy
Britney Spears,Mona Lisa,"thi is the stori about mona lisa the mona lisa ladi and gentlemen , i 've got a littl stori to tell about mona lisa and how she suddenli fell see everyon knew her , they knew her oh so well now i am take over to releas her from her spell she 's the origin she 's unforgett she want you to know she 's been gone it 's kind of incred she 's so unpredict she want you to know she 's been gone , she 's been gone , she 's been gone she wa taken under drown in her sea run like an angel , she wa cri and could not see , oh no now see everyon 's watch as she start to fall they want her to breakdown be a legend of her fall she 's the origin she 's unforgett she want you to know she 's been gone it 's kind of incred she 's so unpredict she want you to know she 's been gone , she 's been gone , she 's been gone ladi doe that make you cri ? mona lisa 's got to fli , nobodi realli die everyon , may we have a moment of silenc right here god she 's the origin she 's unforgett she want you to know she 's been gone it 's kind of incred she 's so unpredict she want you to know that she 's home , that she 's home she 's the origin she 's unforgett she want you to know she 's been gone it 's kind of incred she 's so unpredict she want you to know that she 's home , that she 's home , that she 's home",0.5371428571428571,happy
Insane Clown Posse,Great Milenko,"great milenko ( ha ha ha ha ha ) great milenko ( hm hm hm hm ha ha ha ha ) great milenko ( ha ha ha ha ha ) great milenko ( hm hm hm hm ha ha ha ha ) come one , come all , and wit magic ! i introduc to you an occult sorcer of the ancient craft of necrom a caster of mind-bend illus from the nether void of the shadow walker a soul from shangra la , the great milenko great milenko ( ha ha ha ha ha ) great milenko ( hm hm hm hm ha ha ha ha ) great milenko ( ha ha ha ha ha ) great milenko ( hm hm hm hm ha ha ha ha ) ladi and gentlemen wit the keeper of arcan , wick voodoo magic a beguil of spell , hex , and curs with the help of potion , talisman , and ancient relic from the forbidden realm of the dark carniv ladi and gentlemen the great milenko great milenko ( ha ha ha ha ha ) great milenko ( hm hm hm hm ha ha ha ha ) great milenko ( ha ha ha ha ha ) great milenko ( hm hm hm hm ha ha ha ha",0.7161764705882354,happy
Green Day,Best Thing In Town,come with me and let 's go for a ride follow me to the other side as i sit around and watch you pout caus i know that you 're the best thing in town -- best thing around best thing in town -- best thing around run wild and alway run free do thing that i have never seen eeri color and all i see are sound now i know that you 're the best thing in town -- best thing around best thing in town -- best thing around i 'm see face ... of mysteri 's of the earth i am not one ... to the aspers of my birth or go to stanc ... of hallucin i ca n't find a miss piec ... of a thought that 's in my mind come with me and let 's go for a ride follow me to the other side as i sit around and watch you pout caus i know that you 're the best thing in town -- best thing around best thing in town -- best thing around run wild and alway run free do thing that i have never seen eeri color and all i see are sound now i know that you 're the best thing in town -- best thing around best thing in town -- best thing around ( billi mumbl : ) sick and tire of all thi wild shit ! !,0.6115433673469388,happy
Oliver,Good Morning Starshine,good morn starshin the earth say hello you twinkl abov us we twinkl below good morn starshin you lead us along my love and me as we sing our earli morn sing song gliddi glub gloopi nibbi nabbi noopi la la la lo lo sabba sibbi sabba noobi abba nabba le le lo lo toobi oobi walla noobi abba naba earli morn sing song good morn starshin the earth say hello you twinkl abov us we twinkl below good morn starshin you lead us along my love and me as we sing our earli morn sing song gliddi glub gloopi nibbi nabbi noopi la la la lo lo sabba sibbi sabba noobi abba nabba le le lo lo toobi oobi walla noobi abba naba earli morn sing song sing a song hum a song sing a song love a song laugh a song sing a song sing the song song song song sing sing sing sing sing song good morn starshin the univers ring with milki way music our blue planet sing good morn starshin and someday so strong they 'll hear the song we sang our earli morn sing song,0.5361111111111111,happy
Chaka Khan,Got To Be There,"got to be there , got to be there in the morn when she say hello to the world . got to be there , got to be there , bring her good time and show her that she 's my girl . oh , what a feel there 'll be the moment i know she love me . caus when i look in her eye . i realiz i need her share the world besid me . so i 've got to be there , got to be there in the morn , and welcom her into my world , and show her that she 's my girl . when she say hello world ! got to be there . got to be there , got to be there when she need someon to keep her through the night . got to be there , got to be there , to take her hand and lead her into my life . oh , what a feel there 'll be the moment i know she love me caus when i look in her eye , i realiz i need her share the world besid me . that 's whi i 've got to be there , got to be there where love begin and that 's ev'rywher she goe , i 've got to be there so she know that when she 's with me she 's home . got to be there , got to be there , got to be there . got to be there , got to be there , got to be there . got to be there , got to be there , got to be there . got to be there , got to be there in the morn when she say hello to the world . got to be there , got to be there , bring him good time and show him that i 'm hi girl . oh , what a feel there 'll be the moment i know she love me . 'caus when i look in hi eye . i realiz i need him share the world besid me . so i 've got to be there , got to be there in the morn , and welcom him into my world , and show him that i 'm hi girl . when she say hello world ! got to be there . got to be there , got to be there when she need someon to keep him through the night . got to be there , got to be there , to take her hand and lead her into my life . oh , what a feel there 'll be the moment i know she love me caus when i look in her eye , i realiz i need him share the world besid me . that 's whi i 've got to be there , got to be there where love begin and that 's ev'rywher she goe , i 've got to be there so he know that when he 's with me he 's home . got to be there , got to be there , got to be there . got to be there , got to be there , got to be there .",0.58125,happy
