Rank,Title,Artists,Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,# of Artist,Artist (Ind.),# of Nationality,Nationality,Continent,Points (Total),Points (Ind for each Artist/Nat),id,Song URL
80,El Gordo Trae El Mando,Chino Pacas,29/05/2023,0.736,0.8,-5.38,0.053,0.179,0.0,0.961,Artist 1,Chino Pacas,Nationality 1,United States,Anglo-America,121,121.0,3kf0WdFOalKWBkCCLJo4mA,https://open.spotify.com/track/3kf0WdFOalKWBkCCLJo4mA
200,Pacas De Billetes,Natanael Cano,20/05/2023,0.718,0.726,-5.91,0.04,0.089,0.0,0.925,Artist 1,Natanael Cano,Nationality 1,Mexico,Latin-America,1,1.0,3IMuuBcKSeFqQSlF2XluA1,https://open.spotify.com/track/3IMuuBcKSeFqQSlF2XluA1
187,Dynamite,BTS,19/10/2022,0.746,0.765,-4.41,0.099,0.011,0.0,0.737,Artist 1,BTS,Nationality 1,South Korea,Asia,14,14.0,5QDLhrAOJJdNAmCTJ8xMyW,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
198,Marisola,"Stars Music Chile, Cris Mj, Standly",01/10/2022,0.806,0.85,-4.84,0.097,0.155,0.0,0.728,Artist 1,Stars Music Chile,Nationality 1,Chili,Latin-America,3,1.0,2pR6bipXfJySBhje19SW02,https://open.spotify.com/track/2pR6bipXfJySBhje19SW02
197,Enséñame a Bailar,Bad Bunny,23/07/2022,0.81,0.789,-5.08,0.085,0.191,0.0,0.77,Artist 1,Bad Bunny,Nationality 1,Puerto Rico,Latin-America,4,4.0,2NMjggapJcXXM7WccGEBUO,https://open.spotify.com/track/2NMjggapJcXXM7WccGEBUO
180,Depende,"Dj Guuga, Wesley Safadão, Zé Felipe",19/03/2022,0.886,0.909,-1.84,0.064,0.125,0.0,0.816,Artist 1,Dj Guuga,Nationality 1,Brazil,Latin-America,21,7.0,1M5OUvKG03C0QtzvxRS4Zk,https://open.spotify.com/track/1M5OUvKG03C0QtzvxRS4Zk
175,Ateo,"C. Tangana, Nathy Peluso",30/10/2021,0.826,0.74,-4.45,0.037,0.142,0.0,0.733,Artist 1,C. Tanganana,Nationality 1,Spain,Europe,26,13.0,5xiAfKzE3mbxYbOkUZPR11,https://open.spotify.com/track/5xiAfKzE3mbxYbOkUZPR11
198,Linda,"Tokischa, ROSALÍA",10/10/2021,0.891,0.751,-3.15,0.124,0.069,0.001,0.711,Artist 1,Tokischa,Nationality 1,Dominican Republic,Latin-America,3,2.0,1ahCrpeTt94LL7y1aXw0Y8,https://open.spotify.com/track/1ahCrpeTt94LL7y1aXw0Y8
199,KUMITE,Salmo,01/10/2021,0.816,0.711,-4.45,0.121,0.061,0.0,0.775,Artist 1,Salmo,Nationality 1,Italy,Europe,2,2.0,6yaNNYWPjkWHbh1jADEyJO,https://open.spotify.com/track/6yaNNYWPjkWHbh1jADEyJO
123,Sal y Perrea - Remix,"Sech, Daddy Yankee, J Balvin",01/10/2021,0.819,0.955,-0.521,0.091,0.161,0.0,0.725,Artist 1,Sech,Nationality 1,Panama,Latin-America,78,26.0,1mG8VynhqySA52bALfYrvO,https://open.spotify.com/track/1mG8VynhqySA52bALfYrvO
184,Sal y Perrea,Sech,28/08/2021,0.786,0.899,-0.515,0.127,0.192,0.0,0.813,Artist 1,Sech,Nationality 1,Panama,Latin-America,17,17.0,5u7twkeask1VIyDeNTElSU,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
200,PROBLEMA,Daddy Yankee,20/05/2021,0.773,0.8,-3.17,0.099,0.061,0.004,0.842,Artist 1,Daddy Yankee,Nationality 1,Puerto Rico,Latin-America,1,1.0,2dl5K2ScW7jYhAhuem06cm,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
101,Too Much (feat. Usher),"Marshmello, Imanbek",23/10/2020,0.712,0.891,-2.76,0.04,0.004,0.0,0.735,Artist 1,Marshmello,Nationality 1,United States,Anglo-America,100,50.0,39umHdGKfpnjY4TFtnoQ51,https://open.spotify.com/track/39umHdGKfpnjY4TFtnoQ51
198,Dembow 2020,"Yandel, Rauw Alejandro",05/09/2020,0.786,0.811,-4.31,0.084,0.122,0.0,0.731,Artist 1,Yandel,Nationality 1,Puerto Rico,Latin-America,3,2.0,0j1VxrPkMyFGvz0jZzxUoZ,https://open.spotify.com/track/0j1VxrPkMyFGvz0jZzxUoZ
180,X (with KAROL G),Jonas Brothers,28/05/2020,0.715,0.827,-5.09,0.062,0.049,0.0,0.75,Artist 1,Jonas Brothers,Nationality 1,United States,Anglo-America,21,21.0,77fvnWALKJR0ws1VUx09CY,https://open.spotify.com/track/77fvnWALKJR0ws1VUx09CY
200,Aullando,"Wisin & Yandel, Romeo Santos",10/07/2019,0.8,0.74,-4.52,0.048,0.184,0.0,0.775,Artist 1,Wisin & Yandel,Nationality 1,Puerto Rico,Latin-America,1,1.0,7BuHdm4lQqcyG3qTwdkxus,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
177,Love Me Less (feat. Quinn XCII),MAX,19/06/2019,0.732,0.856,-2.2,0.093,0.083,0.0,0.771,Artist 1,MAX,Nationality 1,United States,Anglo-America,24,24.0,2tOOcDDYkh0PSjr6GwPEAJ,https://open.spotify.com/track/2tOOcDDYkh0PSjr6GwPEAJ
177,Inmortal,Aventura,05/04/2019,0.77,0.775,-4.65,0.035,0.178,0.0,0.848,Artist 1,Aventura,Nationality 1,Dominican Republic,Latin-America,24,24.0,2swZ0X1njeU32SNJeBKIfW,https://open.spotify.com/track/2swZ0X1njeU32SNJeBKIfW
137,Blow That Smoke (feat. Tove Lo),"Tove Lo, Major Lazer",19/10/2018,0.719,0.703,-4.93,0.039,0.032,0.0,0.72,Artist 1,Tove Lo,Nationality 1,Sweden,Europe,64,32.0,1wcYgcBH8WW1kXNezuFBqU,https://open.spotify.com/track/1wcYgcBH8WW1kXNezuFBqU
182,Anpanman,BTS,29/05/2018,0.813,0.875,-2.92,0.092,0.024,0.0,0.756,Artist 1,BTS,Nationality 1,South Korea,Asia,19,19.0,4lRwa7PKcGIuJMwtPIYKdy,https://open.spotify.com/track/4lRwa7PKcGIuJMwtPIYKdy
190,Fuleragem,MC WM,28/04/2018,0.808,0.836,-2.3,0.051,0.009,0.0,0.755,Artist 1,MC WM,Nationality 1,Brazil,Latin-America,11,11.0,6tuzPD1zPPvwMbGiD0TBay,https://open.spotify.com/track/6tuzPD1zPPvwMbGiD0TBay
