artist,song,text,polarity,mood
Rod Stewart,I Can't Deny It,"yeah ( ooh , ooh , ooh , ooh ) yeah ( ooh , ooh , ooh , ooh ) yeah ( ooh , ooh , ooh , ooh ) yeah ( ooh , ooh ) yeah , yeah how can i tell ya how much i love ya never put no one abov ya it 's just you in my heart and you 're makin ' me wild how can i tell ya how much i need ya without you i 'm just a bleedin ' man yeah so girl , let 's ride it get excit i ca n't deni it when it feel thi good yeah , yeah how high the number how much i dig ya oh , babe , there ai n't no figur it 's just you in my heart you 're makin ' me wild how can i tell ya just what i 'm feelin ' i 'm gon na jump off the ceil now and get down girl , let 's ride it ( oh , oh ) get excit ( oh , oh ) i ca n't deni it ( no , oh ) when it feel thi real ( yeah , yeah ) i long to touch you ( yeah ) the way you touch me ( pleas ) caus then you 'll love me , girl the way i love you , yeah and babi , i just ca n't stop cryin ' ( cryin ' , cryin ' ) sinc i found you my heart dyin ' girl , let 's ride it ( oh , oh ) and get excit ( oh , oh ) i ca n't deni it ( no , oh ) when it feel thi real ( yeah , yeah ) i long to touch you ( yeah ) the way you touch me ( pleas ) caus then you 'll love me , girl the way i love you ( yeah , yeah , yeah ) ooh , ooh , ooh , ooh ooh , ooh , ooh i ca n't deni it when you 're makin me feel like i wan na get down to the real me i wan na show you the real me , babi i wan na show you what i 'm made of it 's all love , it 's all love , it 's all love , it 's all love ( one more time ) it 's all love , it 's all love , it 's all love , it 's all love ( girl , let 's ride it ) ( one more time ) it 's all love , it 's all love , it 's all love , it 's all love ( girl , let 's ride it , yeah ) it 's all love , it 's all love , it 's all love , it 's all love ( you make me feel so good ) it 's all love , it 's all love , it 's all love , it 's all love ( oh , yeah , yeah , yeah , yeah ) it 's all love , it 's all love , it 's all love , it 's all love ( it 's all love )",0.3601814058956916,romantic
Otis Redding,Can't Turn You Loose,"huh i ca n't turn you loos now if i do i 'm gon na lose my life ooh i ca n't turn you loos now if i do i 'm gon na lose my life i ca n't turn you loos to nobodi ha i love you babi , ye i do now hip shake mama , i told ya i 'm in love with onli you got ta babi do it babi whi do n't ya i 'll give ya everyth that you want got ta , got ta keep on hold on never gon na turn you loos i ca n't turn you loos got ta got ta keep on hold on got ta got ta i ca n't turn you loos now i 'm in love with the prettiest thing ooo i never , never turn you loos now becaus the sweet love she bring me i ca n't turn you loos to nobodi babi i love you babi , ye i do hip shake mama , i love ya i 'm in love with onli you honest babi , do it babi whi do n't ya and i 'm gon na give ya everyth you want got ta got ta ha keep , keep on hold on ha never gon na turn you loos now never gon na lose you babe i ca n't turn you loos never , i 'm never gon na turn to you loos i 'm gon na keep hold on , turn you loos gon na keep a grip on ya i ca n't turn you loos got ta got ta keep on hold on earli in the morn and i love to hold ya i ca n't turn you loos never gon na turn ya got ta to keep on holdin ' hold on to me babi got ta got ta got ta",0.495,romantic
Faith Hill,Just To Hear You Say I Love You,"song : by faith hill and tim .. if i could win your heart if you 'd let me in your heart i 'd be so happi , babi just for these arm to be hold you close to me there 's noth in thi world i wo n't tri no limit to what i 'd do to make you mine , caus i 'd climb right up to the sky i 'd take down the star just to be in your arm , babi i 'd go and captur the moon that 's what i would do just to hear you say that you love me just to hear you say that you love me if i could tast your kiss there 'd be no sweeter gift heaven could offer , babi ( oh babi ) i want to be the one ( i want to be the one ) live to give you love i 'd walk across thi world just to be close to you 'caus i want you close to me , yeah i 'd climb right up to the sky i 'd take down the star just to be in your arm , babi i 'd go and captur the moon that 's what i would do just to hear you say that you love me just to hear you say that you love me for the rest of your life ( for the rest of your life ) love me for the rest of all time ( oh babi , babi ) just say the word and i 'll give you my world there 's noth i wo n't do babi , just to be with you i 'd climb right up to the sky take down the star just to be in your arm , babi i 'd go and captur the moon that 's what i would do just to hear you say that you love me just to hear you say that you love me , babi just to hear you say that you love me oh , i need to hear you say that you love me , babi just to hear you say that you love me just say you love me just say you need me just to hear you say that you love me thi page is dedic to hugg-abl alway 2gether never apart just bye 4 now never 4 ever",0.3727066584209441,romantic
Cliff Richard,All That Matters,"the love in you and the love in me that 's all that matter all the rest is just vaniti that time will shatter the onli treasur in the life we live is in the measur of the love we give all that matter in the end will be the love in you and the love in me that 's all that matter all that matter everi heart must chang it 's shape to fit the space that the lifetim make some regret and some mistak we touch happi but we ca n't hold her feel come and disappear i 've known the laughter i 've cri those tear i should know better after all these year but i 'm no wiser , i 'm just older the love in you and the love in me that 's all that matter all the rest is just vaniti that time will shatter the onli treasur in the life we live is in the measur of the love we give all that matter in the end will be the love in you and the love in me oh , oh that 's all that matter all that matter love is the treasur it 's all the question of prioriti we 've got so much that we just do n't need if it ai n't got noth then it 's a luxuri we can learn to live without it the love in you and the love in me repris",0.4087878787878788,romantic
Natalie Imbruglia,Never Tear Us Apart,do n't ask me what you know is true do n't have to tell you i love your preciou heart i i wa stand you were there two world collid and they could never tear us apart we could live for a thousand year but if i hurt you i 'd make wine from your tear i told you that we could fli 'caus we all have wing but some of us do n't know whi i i wa stand you were there two world collid and they could never ever tear us apart,0.3287878787878788,romantic
Natalie Cole,Love Is Here To Stay,"it 's veri clear our love is here to stay not for a year but ever and a day the radio and the telephon and the movi that we know may be pass fanci and in time may go but oh my dear our love is here to stay togeth we 're goin ' a long , long way in time the rocki may crumbl gibraltar may tumbl they 're onli made of clay but our love is here oh our love is here but our love is here to stay .",0.3125,romantic
Vonda Shepard,Good To Yourself,"i stop at an all night diner oh , it seem like a romant thing to do yeah , but i 'm lone , it ai n't like the movi in the old day i saw you sittin ' in the corner count chang , like you were count your daydream then your eye , they suddenli hit me like a railroad train oh , sometim i think i might be immun to a guy like you but i ca n't walk away , no i ca n't walk away oh , tonight i see you 're at the end of the line , well , me too but we all got ta pay i know you 'd be good to me i know you 'd tri to be good to me but in the end , babi ca n't depend on no one els when the chip are down , i have found you better be good to yourself , good to yourself i guess i 've known you befor , mayb in high school or mayb you 're just one more guy i went look for the boy next door or mayb i 'm the girl with the see-through eye but i watch too mani movi , i get tangl in the stori of someon els 's life babi , who am i , and who are you ? oh , sometim i go to bed at night and i think that i 'm with you then i say a littl prayer , 'caus i threw it all away the other day you call up to see if i miss you and all i could say wa i know you 'd be good to me i know you 'd tri to be good to me but in the end , babi ca n't depend on no one els when the chip are down , i have found you better be good to yourself , good to yourself night ha a clever disguis she make me believ that i 'm lone i should know by now if i can make it to tomorrow i can work it out 'caus in the end , babi ca n't depend on no one els when the chip are down , i have found you better be good to yourself , good to yourself",0.401590909090909,romantic
Carly Simon,"A Red, Red Rose","my love is like a red , red rose that 's newli strung in june my love is like a melodi that 's sweetli play in tune as far art thou , my bonni lass so deep in love am i and i will love thee still , my dear til all the sea gang dri til all the sea gang dri till all the sea gang dri , my dear and the rock melt with the sun i will love thee still , my dear while the sand of life shall run and fare thee well , my onli love and fare thee well a while and i will come again , my love though it were ten thousand mile though it were ten thousand mile",0.3,romantic
Zoegirl,Believe,"i use to close my eye and pray the time would pass me by so i could fli away in my dream to anywher unreal and i 'd hide away from everyth i did n't know what wa real , i did n't know the truth there wa a day when somebodi introduc me to you and you breath your life in me you set me free now i 'll shout it from the mountain that i 'm not the same that i use to be i believ in god , believ in god i 'm not asham to talk about it to a world that slowli slip away that i believ in god , believ in god now at the end of the day when noth seem to go my way i 've got a friend , i 've got a love that 's never gon na let me go sinc you gave your life for me you set me free oh , when i feel so alon he come to sweetli say it 's all gon na be okay oh , when my emot flow he come to sweetli say it 's all gon na be okay oh , when i feel so alon he come to sweetli say it 's all gon na be okay oh , when my emot flow he come to sweetli say it 's all gon na be okay",0.3888888888888889,romantic
George Harrison,What Is Life,"what is life georg harrison what i feel , i ca n't say but my love is there for you anytim of day but if it 's not love that you need then i 'll tri my best to make everyth succeed tell me , what is my life without your love tell me , who am i without you , by my side what i know , i can do if i give my love now to everyon like you but if it 's not love that you need then i 'll tri my best to make everyth succeed tell me , what is my life without your love tell me , who am i without you , by my side tell me , what is my life without your love tell me , who am i without you , by my side what i feel , i ca n't say but my love is there for you ani time of day but if it 's not love that you need then i 'll tri my best to make everyth succeed tell me , what is my life without your love tell me , who am i without you , by my side oh tell me , what is my life without your love tell me , who am i without you , by my side what is my life without your love tell me , who am i without you , by my side oh tell me , what is my life without your love tell me who am i without you by my side",0.453125,romantic
