Rank,Title,Artists,Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,# of Artist,Artist (Ind.),# of Nationality,Nationality,Continent,Points (Total),Points (Ind for each Artist/Nat),id,Song URL
34,PRC,"Peso Pluma, Natanael Cano",29/05/2023,0.784,0.826,-6.34,0.054,0.097,0.0,0.893,Artist 1,Peso Pluma,Nationality 1,Mexico,Latin-America,167,83.5,2mpoNBkngUEwnaKoBhZ0vl,https://open.spotify.com/track/2mpoNBkngUEwnaKoBhZ0vl
37,Dance The Night (From Barbie The Album),Dua Lipa,29/05/2023,0.671,0.845,-4.93,0.048,0.021,0.0,0.775,Artist 1,Dua Lipa,Nationality 1,United Kingdom,Europe,164,164.0,1vYXt7VSjH9JIM5oRRo7vA,https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA
80,El Gordo Trae El Mando,Chino Pacas,29/05/2023,0.736,0.8,-5.38,0.053,0.179,0.0,0.961,Artist 1,Chino Pacas,Nationality 1,United States,Anglo-America,121,121.0,3kf0WdFOalKWBkCCLJo4mA,https://open.spotify.com/track/3kf0WdFOalKWBkCCLJo4mA
106,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",29/05/2023,0.795,0.8,-6.32,0.031,0.035,0.0,0.934,Artist 1,Elton John,Nationality 1,United Kingdom,Europe,95,31.66666667,6JIC3hbC28JZKZ8AlAqX8h,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
125,Fast Car,Luke Combs,29/05/2023,0.712,0.603,-5.52,0.026,0.186,0.0,0.67,Artist 1,Luke Combs,Nationality 1,United States,Anglo-America,76,76.0,1Lo0QY9cvc8sUB2vnIOxDT,https://open.spotify.com/track/1Lo0QY9cvc8sUB2vnIOxDT
184,Sunroof,"Nicky Youre, dazy",29/05/2023,0.768,0.714,-5.11,0.04,0.352,0.0,0.842,Artist 1,Nicky Youre,Nationality 1,United States,Anglo-America,17,8.5,4h4QlmocP3IuwYEj2j14p8,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8
184,En Paris,"El Chachito, Junior H",27/05/2023,0.702,0.483,-7.99,0.052,0.366,0.0,0.769,Artist 1,El Chachito,Nationality 1,Mexico,Latin-America,17,8.5,1Fuc3pBiPFxAeSJoO8tDh5,https://open.spotify.com/track/1Fuc3pBiPFxAeSJoO8tDh5
130,The Best,Tina Turner,26/05/2023,0.662,0.737,-9.54,0.03,0.108,0.019,0.744,Artist 1,Tina Turner,Nationality 1,Swiss,Europe,71,71.0,6pPWRBubXOBAHnjl5ZIujB,https://open.spotify.com/track/6pPWRBubXOBAHnjl5ZIujB
200,Pacas De Billetes,Natanael Cano,20/05/2023,0.718,0.726,-5.91,0.04,0.089,0.0,0.925,Artist 1,Natanael Cano,Nationality 1,Mexico,Latin-America,1,1.0,3IMuuBcKSeFqQSlF2XluA1,https://open.spotify.com/track/3IMuuBcKSeFqQSlF2XluA1
179,Di Que Sí,"Grupo Marca Registrada, Grupo Frontera",13/05/2023,0.571,0.584,-5.38,0.05,0.074,0.0,0.783,Artist 1,Grupo Marca Registrada,Nationality 1,Mexico,Latin-America,22,11.0,0pliiCOWPN0IId8sXAqNJr,https://open.spotify.com/track/0pliiCOWPN0IId8sXAqNJr
183,WANDA,Quevedo,15/04/2023,0.724,0.631,-4.42,0.069,0.249,0.0,0.957,Artist 1,Quevedo,Nationality 1,Spain,Europe,18,18.0,0Iozrbed8spxoBnmtBMshO,https://open.spotify.com/track/0Iozrbed8spxoBnmtBMshO
197,Calm Down,Rema,09/04/2023,0.814,0.789,-6.29,0.041,0.365,0.001,0.842,Artist 1,Rema,Nationality 1,Nigeria,Africa,4,4.0,3BnDvpeuGOj21Ir2aVEtQo,https://open.spotify.com/track/3BnDvpeuGOj21Ir2aVEtQo
168,EVIL,Melanie Martinez,31/03/2023,0.712,0.734,-4.91,0.024,0.382,0.0,0.745,Artist 1,Melanie Martinez,Nationality 1,United States,Anglo-America,33,33.0,6UW10CbMTvqciT3X3Ldeox,https://open.spotify.com/track/6UW10CbMTvqciT3X3Ldeox
185,Gatita,Bellakath,29/01/2023,0.895,0.847,-5.25,0.052,0.16,0.223,0.735,Artist 1,Bellakath,Nationality 1,Mexico,Latin-America,16,16.0,4ilZV1WNjL7IxwE81OnaRY,https://open.spotify.com/track/4ilZV1WNjL7IxwE81OnaRY
183,Billie Jean,Michael Jackson,01/01/2023,0.932,0.457,-9.62,0.054,0.017,0.044,0.884,Artist 1,Michael Jackson,Nationality 1,United States,Anglo-America,18,18.0,7J1uxwnxfQLu4APicE5Rnj,https://open.spotify.com/track/7J1uxwnxfQLu4APicE5Rnj
55,This Christmas,Donny Hathaway,25/12/2022,0.634,0.645,-9.2,0.038,0.292,0.0,0.677,Artist 1,Donny Hathaway,Nationality 1,United States,Anglo-America,146,146.0,7MSYSOobsombc1mbDWFxtD,https://open.spotify.com/track/7MSYSOobsombc1mbDWFxtD
187,Dynamite,BTS,19/10/2022,0.746,0.765,-4.41,0.099,0.011,0.0,0.737,Artist 1,BTS,Nationality 1,South Korea,Asia,14,14.0,5QDLhrAOJJdNAmCTJ8xMyW,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
197,World's Smallest Violin,AJR,16/10/2022,0.68,0.697,-7.01,0.048,0.121,0.0,0.684,Artist 1,AJR,Nationality 1,United States,Anglo-America,4,4.0,68EkhVWIeULhHxcbi1QhzK,https://open.spotify.com/track/68EkhVWIeULhHxcbi1QhzK
198,Marisola,"Stars Music Chile, Cris Mj, Standly",01/10/2022,0.806,0.85,-4.84,0.097,0.155,0.0,0.728,Artist 1,Stars Music Chile,Nationality 1,Chili,Latin-America,3,1.0,2pR6bipXfJySBhje19SW02,https://open.spotify.com/track/2pR6bipXfJySBhje19SW02
197,Leave Before You Love Me (with Jos Brothers),Marshmello,21/09/2022,0.721,0.738,-4.77,0.04,0.002,0.0,0.637,Artist 1,Marshmello,Nationality 1,United States,Anglo-America,4,2.0,4qu63nuBpdn0qHUHuObEj1,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
127,506,"Morat, Juanes",02/09/2022,0.544,0.864,-5.65,0.048,0.007,0.0,0.69,Artist 1,Morat,Nationality 1,Colombia,Latin-America,74,37.0,4scwMEdlKi8qWJzzyDB8Z3,https://open.spotify.com/track/4scwMEdlKi8qWJzzyDB8Z3
