artist,song,text,polarity,mood
Hooverphonic,Mad About You,"feel the vibe , feel the terror , feel the pain , it 's drive me insan . i ca n't fake , for god 's sake whi am i drive in the wrong lane troubl is my middl name . but in the end i 'm not too bad can someon tell me if it 's wrong to be so mad about you mad about you , mad are you the fishi wine that will give me a headach in the morn or just a dark blue land mine that explod without a decent warn . give me all your true hate and i 'll translat it in our bed , into never seen passion , never seen passion that is whi i am so mad about you mad about you , mad troubl is your middl name . but at the end you 're not too bad can someon tell me if it 's wrong to be so mad about you mad about you mad about you mad about you mad about you give me all your true hate and i 'll translat it in our bed , into never seen passion , never seen passion that is whi i am so mad about you mad about you mad about you mad about you mad about you mad about you mad about you",-0.5010752688172043,sad
Manowar,Hatred,"i tast your blood as it shower from my blade . i eat your heart , from evil it wa made . with heart fill hatr black blood run through my vein . i take your power to the ancient one who reign . i conquer evil , let evil know my name . come forth ye wick , know the gruesom pain . i am the omen , the one that can not die i am the flame , hatr burn insid . my strength is hatr , torment and pain , hatr , hatr . with heart fill hatr black blood run through my vein . i crush your bone , i kill your face i rip your flesh , i end the chase you meet with terror , you draw the ace i rule the world the rat that race . my strength is hatr , torment and pain , hatr , hatr with heart fill hatr black blood run through my vein . hatr",-0.5833333333333334,sad
Venom,The Evil One,"i am the evil one the tempter , sinner man archfiend , diabolu hail leviathan omnipot lucif asmodeu , my soul feed off inhuman life blood of liquid gold evil one flesh and bone evil one set in stone i , the royal princ of hell command infern name lightn fill my ancient bone chithulu rise in flame domin centuri consum the everlast rais ash up from earth i , satan , head rise evil one flesh and bone evil one cast in stone kneel i kneel to no man rejoic i see through your cri believ you know not the truth blasphem jesu fuck you crucifi the holi man no sermon of a fool univers , infin behold , evil rule ever pregnant mysteri ahmoon command the birth howl incant i rise from blacken earth evil one flesh and bone evil one carv in stone the evil one",-0.7461805555555556,sad
Kiss,Secretly Cruel,"i saw my pictur hangin ' on her wall she cut it out of that magazin it wa a hot day , she wore lingeri and nothin ' els in between , ooh she had long hair and thigh high snake skin boot and she wa all over me like a cheap suit then she bare herself , aha and strip my soul began to shake , rattl , and roll then i took control , yeah but i know she 's secretli cruel i ai n't nobodi 's fool yeah , i know she 's secretli cruel just when i though it wa safe she put her lip to my face she 's secretli , secretli cruel well she grab my hair and i began to rise i could tell what she want by that look in her eye , oh , ow by that look in her eye , yeah i said `` come here babe and make it quick '' she said `` not so fast '' and had a drink well it ai n't just luck but i better knock on wood she 's gon na give me everyth somehow i knew she would oh , but i know she 's secretli cruel i ai n't nobodi 's fool well , i know she 's secretli cruel i said babi you 're the fire , but i am the fuel she 's secretli , secretli cruel yeah , so cruel well it ai n't just luck ( ai n't just luck ) but i better knock on wood , yeah she 's gon na give me everyth somehow i knew she would oh , but i know she 's secretli cruel i ai n't nobodi 's fool , nobodi 's fool secretli , she 's so cruel ( cruel ) i 'm in love , but i do n't play the fool secretli , she 's so cruel , secretli , so cruel cruel , yeah , cruel , yeah , cruel , yeah i know she 's secretli , she 's so cruel , secretli , so cruel cruel , yeah , cruel , yeah , cruel , yeah i know she 's secretli , she 's so cruel , secretli , she 's so cruel yeah , yeah , yeah , yeah , secretli , secretli cruel , cruel",-0.5901904761904762,sad
Korn,Fake,"i ca n't stand the sight of you i ca n't stand what you put me through your life 's a lie that you hide is it that terribl be you insid ? i ca n't stand , oh , the thought of you i ca n't stand all the thing you do what do you tri to justifi ? you are just too scare to be you insid let it all go i look at you all i see is a man too afraid to realli be i ca n't stand what you put me through i ca n't stand even the thought of you your secret lie that you hide is it that terribl be you insid ? let it all go you tri so hard to be want fals emot tell you front i think be a person reli on one thing be yourself , let you come through you 're too afraid to realli be someon who is n't fals and doe n't care to be be yourself , let you come through ! fake !",-0.5333333333333334,sad
Doobie Brothers,Can't Stand To Lose,"if you ca n't stand to lose do n't stand in the way . hey do n't you think it 's time to say ? tell her the truth now , do n't be afraid . tell her she 's the onli one you ca n't stand to lose . it 's alright if you 're feelin ' like there 's someth that you need to say . 'caus the onli word that she ha n't heard are the veri one that stand in your way . so just let your heart tell her what 's on your mind even though you 're afraid of what she might find . if you ca n't stand to lose do n't stand in the way . hey do n't you think it 's time to say ? tell her the truth now , do n't be afraid . tell her she 's the onli one you ca n't stand to lose . hey do n't you think it 's time to say ? tell her the truth now , do n't be afraid . tell her she 's the onli one that you ca n't stand to lose .",-0.6,sad
System Of A Down,U-Fig,"melt in the sun , melt in the sun ! who want to come with me and melt in the sun ! hide in the sky , hide in the sky ! who want to come with me and hide in the sky ! you and me should go outsid and beat em ' beat em ' beat em ' beat em ' beat em ' beat em ' all pathet flag wave ignor hick and we 'll eat em ' eat em ' eat em ' eat em ' eat em ' eat em ' come join the caus , come join the caus ! who want to come with me and come join the caus ! hide in the sky , hide in the sky ! who want to come with me and hide in the sky ! you and me should go outsid and beat em ' beat em ' beat em ' beat em ' beat em ' beat em ' all pathet flag wave ignor jick and we 'll eat em ' eat em ' eat em ' eat em ' eat em ' eat em ' you and me should go outsid and beat em ' beat em ' beat em ' beat em ' beat em ' beat em ' all pathet flag wave ignor hick and we 'll eat em ' eat em ' eat em ' eat em ' eat em ' eat em ' realiz you 're blind and we 're out of time it 'll show your mind melt in the sun , melt in the sun ! who want to come with me and melt in the sun ! hide in the sky , hide in the sky ! who want to come with me and hide in the sky ! you and me should go outsid and beat em ' beat em ' beat em ' beat em ' beat em ' beat em ' all pathet flag wave ignor hick and we 'll eat em ' eat em ' eat em ' eat em ' eat em ' eat em ' you and me should go outsid and beat em ' beat em ' beat em ' beat em ' beat em ' beat em ' eat'em eat'em eat'em eat'em eat'em eat'em eat'em eat'em eat'em eat'em eat'em eat'em eat'em eat'em eat'em eat'em eat'em eat'em i 'll show your mind that you have a mind",-1.0,sad
INXS,C,welcom to the strangest parti babi it 's like we 're stare at the sun everybodi 's got their invit hopin ' that you 're gon na come yeah these are the time time these are the crime crime what are we wait for what are we hate for you 're part of the solut or part of the problem you 're gon na have to danc with one you 're give up on the futur honey i 'll count you out of have some here come the rain yeah here come the rain yeah these are the time these are the crime what are we wait for what are we hate for wash away the rain yeah into the blue sea yeah these are the time these are the time,-0.5333333333333333,sad
Ramones,Bad Brain,i use to be an a student i never use to complain i use to be a truant but i 'm still the same bad bad brain bad bad brain i use to go to parti i use to drink champagn now i 'm begin to feel the strain bad bad brain bad bad brain i use to be in show biz i use to have fortun and fame i use to have pleasur and pain i use to have a name bad bad brain bad bad brain now i 'm on the boweri i ca n't rememb my name bad bad brain bad bad brain,-0.6588235294117646,sad
Face To Face,Don't Turn Away,god know i 've tri i 've wait in spite of myself there 's noth to hide i need you like no one els i 'm sick of tri to figur out where i went wrong i ca n't believ these word you say do n't you turn away from me i ca n't say anoth word i have n't said befor do n't you turn away from me do n't ask for my apolog i do n't have anymor god know i 'm tire of lie and denial from you it 's down to the wire i 've given myself and that 's all i can do i 'm sick of tri to figur out where i went wrong i ca n't believ these word you say do n't you turn away from me i ca n't say anoth word i have n't said befor do n't you turn away from me do n't ask for my apolog i have n't anymor,-0.5168253968253969,sad
Misfits,Blacklight,a pound puls stir anxiou feel insid sick breath of undead life `` help me angel evil '' cri the children of the night take thi wast mortal life melt me into blacklight lie on the floor and let the bodi die becom the beast in which you fear `` help me angel evil '' cri the children of the night take thi wast mortal life melt me into blacklight `` help me angel evil '' cri the children of the night take thi wast mortal life melt me into blacklight on go,-0.9285714285714286,sad
Korn,Embrace,"blood is bore sleep is bore do n't stop run i 'm here count the life , the hurt , the pain , the hate the life , the hurt , the pain , the hate the life , the hurt , the pain , the hate will he keep fuckin ' with me ? there 's nowher els to go ! so i walk but seem to crawl for , i 'm give in today now i run into a wall caus i can not fight my way you 've got ta come with me ( i can not stand thi place ) we 're fall off the world ( and i 'll give in thi way ) we had a chanc to run ( and now i ca n't believ ) we 're go all the way ( and all the affair embrac ) my life , worri , life is stori give up , beat i 'll start , need the life , the hurt , the pain , the hate the life , the hurt , the pain , the hate the life , the hurt , the pain , the hate will he keep fuckin ' with me ? there 's nowher els to go ! so i walk but seem to crawl for , i 'm give in today now i run into a wall caus i can not fight my way you 've got ta come with me ( i can not stand thi place ) we 're fall off the world ( and i 'll give in thi way ) we had a chanc to run ( and now i ca n't believ ) we 're go all the way ( and all the affair embrac ) ( embrac embrac [ x4 ] ) oh uh , uh , uh uh . uh , uh , uh uh . uh , uh , uh uh . uh , uh , uh uh . what realli do i have to follow ? noth make sens at all . take someth for noth watch me as i fall . i 'm bring me down [ x3 ] i 'm bring me ... down you 've got ta come with me ( i can not stand thi place ) we 're fall off the world ( and i 'll give in thi way ) we had a chanc to run ( and now i ca n't believ ) we 're go all the way ( and all the affair embrac ) [ x2 ]",-0.688888888888889,sad
Black Sabbath,Sick And Tired,"got no time to be on the run , got no hole in my shoe , you 're the reasong all my friend have gone , but i wo n't run from you . so mani promis , and you broke them all , oh i 'll forgiv , but i ca n't forget , you know you 're a fake , but i just ca n't take no more , 'caus i 'm tire of it . i 'm so tire , so tire , sick and tire of it all , i 'm so tire , sick and tire , i 'm so tire , sick and tire of it all , yeah . you turn the truth , then you turn your back , you 're a victim of yourself , the hate remain , the hurt still exist . i 'm so tire of it all . i 'm so tire , sick and tire , so damn tire , sick and tire of it all , oh yeah , i 'm so tire , i 'm sick and tire of it all .",-0.5373376623376624,sad
Radiohead,Packt Like Sardines In A Crushed Tin Box,"after year of wait noth came as your life flash befor your eye you realiz i 'm a reason man get off , get off , get off my case ( x2 ) i 'm a reason man get off my case get off my case after year of wait after year of wait noth came and you realiz you 're look , look in the wrong place i 'm a reason man get off my case ( x2 ) i 'm a reason man get off my case ( x2 ) i 'm a reason man get off my case ( x3 ) after year of wait you 're a reason man get off our case ( x3 ) i 'm a reason man , get off my case ( x3 ) i 'm a reason man , get off my case ( x3 ) i 'm a reason man , get off my case ( x3 )",-0.5,sad
Linkin Park,Giving In,"will you , walk me to the edg again ? shake , lone , and i am drink again woke up tonight and no one 's here with me i 'm give in to you take me under i 'm give in to you i 'm die tonight i 'm give in to you watch me crumbl i 'm give in to you i 'm cri tonight i 'm give in to you caught up , in life lose all my friend famili ha tri , to heal all my addict tragic it seem , to be alon again i 'm give in ... to you take me under i 'm give in to you i 'm die tonight i 'm give in to you watch me crumbl i 'm give in to you i 'm cri tonight i 'm give in to you i look forward , to die tonight drink till i 'm myself , life 's harder everi day the stress ha got me i 'm give in give in give in now ! take me under ( i 'm kill all the pain ) i 'm die tonight ( i 'm sick of all thi faith ) watch me crumbl ( i 'm kill all the pain ) i 'm cri tonight i 'm give in to you take me under i 'm give in to you i 'm die tonight i 'm give in to you take me under i 'm give in to you i 'm die tonight i 'm give in to you",-0.5297619047619048,sad
Zakk Wylde,Superterrorizer,"i 'm your suicid doomsday machin bestow my grace on everyth my ill will shall never leav embrac until you can not breath superterror superterror crash , burn , in you i confid i 'll drink and spew all your bloodstain pride you 're just a pinbal insid my machin until you reach the fall , my close stream superterror superterror superterror superterror",-0.5,sad
Pearl Jam,Hunger Strike,"i do n't mind steal bread from the mouth of decad but i ca n't feed on the powerless when my cup 's alreadi overfil but it 's on the tabl , the fire 's cook and they 're starv babi , and the slave are all work blood is on the tabl , the mouth are choke i 'm go hungri i do n't mind steal bread from the mouth of decad but i ca n't feed on the powerless when my cup 's alreadi overfil but it 's on the tabl , the fire 's cook and they 're starv babi , and the slave are all work and it 's on the tabl , the mouth are choke i 'm go hungri",-0.5,sad
Evanescence,Sick,"embrac the silenc 'caus there 's noth that can chang the way i feel taken all that you want now there 's noth that can chang the way i feel hold on , littl girl the end is soon to come sick of it all , sick of it all we will not follow sick of it all , sick of it all they do n't understand how sick we are , sick we are of thi bottomless pit of lie behind close eye ocean between us and there 's noth that can chang the way i feel i can still tast the poison of everi fall everi breath , our way to heal hold on , littl girl the end is soon to come sick of it all , sick of it all we will not follow sick of it all , sick of it all they do n't understand how sick we are , sick we are of thi bottomless pit of lie behind close eye someday you 'll know the peac someday the light will break through and noth you tell yourself will save us from the truth screamin ' out sick of it all , sick of it all we will not follow sick of it all , sick of it all they do n't understand how sick we are , sick we are of thi bottomless pit of lie behind close eye",-0.6207792207792205,sad
Bob Dylan,Get Your Rocks Off,"by bob dylan you know , there 's two ol ' maid layin ' in the bed , one pick herself up an ' the other one , she said : `` get your rock off ! get your rock off ! ( get 'em off ! ) get your rock off ! ( get 'em off ! ) get your rock off-a me ! ( get 'em off ! ) '' well , you know , there late one night up on blueberri hill , one man turn to the other man and said , with a blood-curdlin ' chill , he said : `` get your rock off ! ( get 'em off ! ) get your rock off ! ( get 'em off ! ) get your rock off ! ( get 'em off ! ) get your rock off-a me ! ( get 'em off ! ) '' well , you know , we wa layin ' down around mink muscl creek , one man said to the other man , he began to speak , he said : `` get your rock off ! ( get 'em off ! ) get your rock off ! ( get 'em off ! ) get your rock off ! ( get 'em off ! ) get your rock off-a me ! ( get 'em off ! ) '' well , you know , we wa cruisin ' down the highway in a greyhound bu . all kinds-a children in the side road , they wa hollerin ' at us , sayin ' : `` get your rock off ! ( get 'em off ! ) get your rock off ! ( get 'em off ! ) get your rock off ! ( get 'em off ! ) get your rock off-a me ! ``",-0.5472441355387371,sad
Allman Brothers Band,Stormy Monday,"they call it stormi monday but tuesday 's just as bad . they call it stormi monday but tuesday 's just as bad . lord , and wednesday 's wors and thursday 's all so bad . the eagl fli on friday , saturday i go out to play . the eagl fli on friday , saturday i go out to play . sunday i go to church , gon na kneel down and pray . lord have merci , lord have merci on me . lord have merci , lord have merci on me . though i 'm tryin ' and tryin ' to find my babi , wo n't someon pleas send her home to me .",-0.5638888888888888,sad
Primus,Nature Boy,"i pull the blind then i take my cloth off danc around the hous like natur boy my genitalia and pector muscl are n't quit what i would like them to be but you do n't see me no one can see me i pull my blind fill out my incom tax form pen in hand i write so legibl i have my kitti . hi name is allowishu , i stroke him but you do n't see me no one should see me i pull the blind for the sun glare off my tele and i find it quit so irrit i have my videos-load of ren and stimpi bottom-a bit of pornographi but you do n't see me no one should see me",-0.5,sad
Smiths,Girl Afraid,girl afraid where do hi intent lay ? or doe he even have ani ? she say : `` he never realli look at me i give him everi opportun in the room downstair he sat and stare in the room downstair he sat and stare i 'll never make that mistak again ! '' i 'll never make that mistak again i 'll never make that mistak again boy afraid prudenc never pay and everyth she want cost money `` but she doe n't even like me ! and i know becaus she said so in the room downstair she sat and stare in the room downstair she sat and stare i 'll never make that mistak again ! '',-0.84375,sad
