Rank,Title,Artists,Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,# of Artist,Artist (Ind.),# of Nationality,Nationality,Continent,Points (Total),Points (Ind for each Artist/Nat),id,Song URL
154,Interlude : Dawn,Agust D,21/04/2023,0.188,0.309,-10564.0,0.029,0.898,0.771,0.068,Artist 1,Agust D,Nationality 1,South Korea,Asia,47,47.0,56tf3cHQkwmvoplotk5QXd,https://open.spotify.com/track/56tf3cHQkwmvoplotk5QXd
171,JACKBOYS,JACKBOYS,29/12/2019,0.413,0.13,-25166.0,0.034,0.9,0.82,0.068,Artist 1,JACKBOYS,Nationality 1,United States,Anglo-America,30,30.0,62zKJrpbLxz6InR3tGyr7o,https://open.spotify.com/track/62zKJrpbLxz6InR3tGyr7o
152,Litanie contre la Peur,TOOL,30/08/2019,0.073,0.014,-22812.0,0.047,0.979,0.956,0.037,Artist 1,TOOL,Nationality 1,United States,Anglo-America,49,49.0,4qE9yOgBNsARadpZTAb6RH,https://open.spotify.com/track/4qE9yOgBNsARadpZTAb6RH
195,"Mia & Sebastian's Theme - From ""La La Land"" Soundtrack",Justin Hurwitz,27/02/2017,0.429,0.188,-16252.0,0.057,0.977,0.903,0.184,Artist 1,Justin Hurwitz,Nationality 1,United States,Anglo-America,6,6.0,1R17cgUv6HeQFa78dzqb7s,https://open.spotify.com/track/1R17cgUv6HeQFa78dzqb7s
37,Dance The Night (From Barbie The Album),Dua Lipa,29/05/2023,0.671,0.845,-4.93,0.048,0.021,0.0,0.775,Artist 1,Dua Lipa,Nationality 1,United Kingdom,Europe,164,164.0,1vYXt7VSjH9JIM5oRRo7vA,https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA
168,EVIL,Melanie Martinez,31/03/2023,0.712,0.734,-4.91,0.024,0.382,0.0,0.745,Artist 1,Melanie Martinez,Nationality 1,United States,Anglo-America,33,33.0,6UW10CbMTvqciT3X3Ldeox,https://open.spotify.com/track/6UW10CbMTvqciT3X3Ldeox
187,Dynamite,BTS,19/10/2022,0.746,0.765,-4.41,0.099,0.011,0.0,0.737,Artist 1,BTS,Nationality 1,South Korea,Asia,14,14.0,5QDLhrAOJJdNAmCTJ8xMyW,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
198,Marisola,"Stars Music Chile, Cris Mj, Standly",01/10/2022,0.806,0.85,-4.84,0.097,0.155,0.0,0.728,Artist 1,Stars Music Chile,Nationality 1,Chili,Latin-America,3,1.0,2pR6bipXfJySBhje19SW02,https://open.spotify.com/track/2pR6bipXfJySBhje19SW02
180,Depende,"Dj Guuga, Wesley Safadão, Zé Felipe",19/03/2022,0.886,0.909,-1.84,0.064,0.125,0.0,0.816,Artist 1,Dj Guuga,Nationality 1,Brazil,Latin-America,21,7.0,1M5OUvKG03C0QtzvxRS4Zk,https://open.spotify.com/track/1M5OUvKG03C0QtzvxRS4Zk
187,Toma Toma Vapo Vapo,"Zé Felipe, Mc Danny",05/03/2022,0.763,0.859,-3.3,0.048,0.322,0.0,0.813,Artist 1,Zé Felipe,Nationality 1,Brazil,Latin-America,14,7.0,5VTjBl3ddZEiG2LrH4VzyR,https://open.spotify.com/track/5VTjBl3ddZEiG2LrH4VzyR
190,Loco,"Justin Quiles, Chimbala, Zion & Lennox",13/11/2021,0.771,0.885,-3.66,0.051,0.222,0.0,0.826,Artist 1,Justin Quiles,Nationality 1,Puerto Rico,Latin-America,11,4.0,6b2HYgqcK9mvktt4GxAu72,https://open.spotify.com/track/6b2HYgqcK9mvktt4GxAu72
175,Ateo,"C. Tangana, Nathy Peluso",30/10/2021,0.826,0.74,-4.45,0.037,0.142,0.0,0.733,Artist 1,C. Tanganana,Nationality 1,Spain,Europe,26,13.0,5xiAfKzE3mbxYbOkUZPR11,https://open.spotify.com/track/5xiAfKzE3mbxYbOkUZPR11
123,Sal y Perrea - Remix,"Sech, Daddy Yankee, J Balvin",01/10/2021,0.819,0.955,-0.521,0.091,0.161,0.0,0.725,Artist 1,Sech,Nationality 1,Panama,Latin-America,78,26.0,1mG8VynhqySA52bALfYrvO,https://open.spotify.com/track/1mG8VynhqySA52bALfYrvO
200,PROBLEMA,Daddy Yankee,20/05/2021,0.773,0.8,-3.17,0.099,0.061,0.004,0.842,Artist 1,Daddy Yankee,Nationality 1,Puerto Rico,Latin-America,1,1.0,2dl5K2ScW7jYhAhuem06cm,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
101,Too Much (feat. Usher),"Marshmello, Imanbek",23/10/2020,0.712,0.891,-2.76,0.04,0.004,0.0,0.735,Artist 1,Marshmello,Nationality 1,United States,Anglo-America,100,50.0,39umHdGKfpnjY4TFtnoQ51,https://open.spotify.com/track/39umHdGKfpnjY4TFtnoQ51
198,Dembow 2020,"Yandel, Rauw Alejandro",05/09/2020,0.786,0.811,-4.31,0.084,0.122,0.0,0.731,Artist 1,Yandel,Nationality 1,Puerto Rico,Latin-America,3,2.0,0j1VxrPkMyFGvz0jZzxUoZ,https://open.spotify.com/track/0j1VxrPkMyFGvz0jZzxUoZ
181,Never Let Me Down,"VIZE, Tom Gregory",15/08/2020,0.758,0.848,-3.84,0.046,0.207,0.0,0.706,Artist 1,VIZE,Nationality 1,Germany,Europe,20,10.0,5TGcyccg8Hkgn9jB7gUpMN,https://open.spotify.com/track/5TGcyccg8Hkgn9jB7gUpMN
198,Hard On Yourself,"Charlie Puth, blackbear",14/08/2020,0.824,0.783,-4.53,0.051,0.22,0.0,0.788,Artist 1,Charlie Puth,Nationality 1,United States,Anglo-America,3,2.0,3xvYvJAa0iUVKKsYcuDNlK,https://open.spotify.com/track/3xvYvJAa0iUVKKsYcuDNlK
161,Que Se Joda,"Anuel AA, Farruko, Zion",04/08/2020,0.624,0.888,-2.13,0.099,0.238,0.0,0.824,Artist 1,Anuel AA,Nationality 1,Puerto Rico,Latin-America,40,13.0,5p3JJehpKHjr9pJT5eD2Lz,https://open.spotify.com/track/5p3JJehpKHjr9pJT5eD2Lz
192,BAD CON NICKY,"Bad Bunny, Nicky Jam",10/06/2020,0.59,0.729,-4.95,0.089,0.321,0.0,0.712,Artist 1,Bad Bunny,Nationality 1,Puerto Rico,Latin-America,9,4.0,5bmSver2b3ZXyuyLKtgnFI,https://open.spotify.com/track/5bmSver2b3ZXyuyLKtgnFI
132,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,24/05/2020,0.794,0.937,-2.44,0.034,0.366,0.0,0.826,Artist 1,Gusttavo Lima,Nationality 1,Brazil,Latin-America,69,69.0,3tv697PZNnaQN0Mn2zGhS5,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
166,SENTADÃO,"PEDRO SAMPAIO, Felipe Origil, JS o Mão de Ouro",24/02/2020,0.68,0.869,-1.94,0.059,0.178,0.0,0.924,Artist 1,PEDRO SAMPAIO,Nationality 1,Brazil,Latin-America,35,12.0,4lKuzrdZrJuCAedbIslF3A,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A
200,Aullando,"Wisin & Yandel, Romeo Santos",10/07/2019,0.8,0.74,-4.52,0.048,0.184,0.0,0.775,Artist 1,Wisin & Yandel,Nationality 1,Puerto Rico,Latin-America,1,1.0,7BuHdm4lQqcyG3qTwdkxus,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
